Time Elapsed,CPU (%),Memory (KB)
1.0,20.0,73616
2.01,101.9,73616
3.01,101.0,73616
4.01,32.0,104372
5.01,2.0,104372
6.01,0.0,104372
7.01,0.0,104372
8.02,0.0,104500
9.02,0.0,104500
10.02,1.0,104500
11.02,132.0,107828
12.02,154.0,107784
13.02,157.0,107784
14.03,149.9,107784
15.03,158.9,107784
16.03,141.0,107784
17.03,170.8,107784
18.03,149.8,107912
19.03,160.0,107912
20.03,168.9,107912
21.03,167.0,107912
22.04,158.9,108040
23.04,175.9,108040
24.04,169.8,108040
25.04,141.8,108040
26.04,156.8,108040
27.04,151.8,108040
28.05,148.8,108040
29.05,158.8,108168
30.05,151.8,108168
31.05,157.0,108168
32.05,142.8,108168
33.06,146.8,108168
34.06,165.8,108168
35.06,157.8,108168
36.06,154.0,108168
37.06,147.8,108168
38.06,143.8,108168
39.07,165.8,108168
40.07,150.9,108168
41.07,146.9,109192
42.07,160.8,109320
43.07,154.9,108480
44.07,150.0,108608
45.08,147.8,108608
46.08,149.8,108608
47.08,155.0,108608
48.08,164.9,108608
49.08,146.9,108608
50.08,158.0,108608
51.08,162.8,108420
52.09,154.9,108420
53.09,143.8,108420
54.09,153.0,108420
55.09,145.0,108280
56.09,158.8,108280
57.09,161.8,108280
58.1,156.9,108280
59.1,162.9,108280
60.1,141.9,108280
61.1,145.0,108280
62.1,152.8,108280
63.1,141.8,108280
64.1,162.8,108280
65.11,163.8,108280
66.11,157.8,108280
67.11,141.9,108280
68.11,155.8,108280
69.11,149.9,108280
70.11,168.0,108280
71.12,140.8,109048
72.12,142.9,109176
73.12,148.8,109176
74.12,144.9,108456
75.12,159.0,108456
76.13,155.8,108456
77.13,165.8,108456
78.13,171.9,108584
79.13,151.0,108584
80.13,152.8,108584
81.13,164.8,108428
82.14,168.8,108292
83.14,145.8,108292
84.14,157.9,108292
85.14,168.0,108292
86.14,155.9,108292
87.14,163.9,108292
88.14,173.0,108292
89.15,144.0,108420
90.15,147.0,108420
91.15,153.0,108420
92.15,148.0,108420
93.15,150.8,108420
94.15,145.8,108420
95.15,158.0,108420
96.16,149.8,108420
97.16,131.9,108420
98.16,168.8,108420
99.16,147.9,108420
100.16,148.8,108420
101.16,133.0,108980
102.17,149.8,109108
103.17,164.0,108836
104.17,158.8,108836
105.17,161.0,108836
106.17,161.8,108836
107.17,170.0,108836
108.17,161.8,108836
109.18,151.8,108836
110.18,153.8,108836
111.18,161.8,108836
112.18,171.8,108836
113.18,164.8,108836
114.19,162.9,108836
115.19,155.8,108836
116.19,173.9,108836
117.19,156.9,108836
118.19,140.0,108836
119.19,163.9,108836
120.19,140.9,108836
121.19,145.8,108836
122.2,163.8,108836
123.2,152.9,108836
124.2,157.0,108836
125.2,143.8,108836
126.2,150.9,108836
127.2,151.8,108836
128.21,172.8,108836
129.21,157.0,108836
130.21,155.8,108836
131.21,131.0,109220
132.21,146.9,108904
133.21,159.9,108904
134.21,150.8,108904
135.22,149.0,108904
136.22,168.0,108904
137.22,172.8,108904
138.22,166.8,108904
139.22,150.8,108904
140.22,159.9,108904
141.23,156.8,108904
142.23,149.0,108904
143.23,164.9,108904
144.23,150.8,108904
145.23,143.8,108904
146.23,153.8,108904
147.23,162.9,108904
148.24,160.8,108904
149.24,176.0,108904
150.24,154.8,108904
151.24,169.9,108904
152.24,145.0,108904
153.24,163.8,108904
154.25,176.8,108904
155.25,153.9,108904
156.25,147.9,108904
157.25,136.0,108904
158.25,157.0,108904
159.25,139.8,108904
160.25,143.0,108904
161.25,107.9,108904
162.26,0.0,108904
163.26,0.0,108904
164.26,1.0,108904
165.26,1.0,108904
